id,mountain,site,state,measure,Year,site_year,name,period,SWE,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
MtLaf-2-2009,MtLaf,T2,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,438.08,4.753835616,-4.304410959,0.224712329,3.17,0.428333334,0.571666667,0.121666667,0.103333333,0.743333333,0.051666667,0.368333333
MtLaf-3-2009,MtLaf,T3,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,438.08,4.753835616,-4.304410959,0.224712329,3.17,0.359999998,0.640000001,0.106666666,0.051666667,0.688333334,0.101666666,0.376666667
MtLaf-1-2017,MtLaf,T1,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,565.95,5.513753425,-3.481342466,1.016205479,3.67,0.301666667,0.698333334,0.076666667,0.156666667,0.786666667,0.085,0.341666667
MtLaf-2-2017,MtLaf,T2,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,565.95,5.513753425,-3.481342466,1.016205479,3.67,0.319999999,0.680000001,0.044999999,0.258333334,0.728333333,0.070000001,0.495
MtLaf-3-2017,MtLaf,T3,NH,line,2017,MtLaf-2017,Lafayette,2004-2024,565.95,5.513753425,-3.481342466,1.016205479,3.67,0.361666666,0.638333334,0.076666666,0.268333333,0.628333334,0.036666666,0.47
MtLaf-1-2024,MtLaf,T1,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,498.46,5.843277,-3.013768,1.434587,2.262,0.418333334,0.581666667,0.050000001,0.361666667,0.576666667,0.105,0.425
MtLaf-2-2024,MtLaf,T2,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,498.46,5.843277,-3.013768,1.434587,2.262,0.311666667,0.688333334,0.046666667,0.418333334,0.540000001,0.051666666,0.515
MtLaf-3-2024,MtLaf,T3,NH,line,2024,MtLaf-2024,Lafayette,2004-2024,498.46,5.843277,-3.013768,1.434587,2.262,0.368333334,0.631666667,0.033333333,0.204999999,0.530000001,0.018333333,0.471666667
wright -T1-1984,wright ,T1,NY,point,1984,wright -1984,Wright,1983-2003,221.65,10.62863014,-2.141315068,4.243657534,5.214,0.268333333,0.731666666,0.054999999,0.105,0.705,0.135,0.513333333
wright -T2-1984,wright ,T2,NY,point,1984,wright -1984,Wright,1983-2003,221.65,10.62863014,-2.141315068,4.243657534,5.214,0.25,0.749999999,0.043333333,0.163333333,0.674999999,0.118333334,0.559999999
wright -T3-1984,wright ,T3,NY,point,1984,wright -1984,Wright,1983-2003,221.65,10.62863014,-2.141315068,4.243657534,5.214,0.200000002,0.8,0.023333334,0.145000001,0.751666667,0.08,0.596666667
